"EH_ID","primary_infection","challenge_infection","Parasite_challenge","infection_history","mouse_strain","max_WL","delta","hybrid_status","IFNy","CXCR3_bio","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"LM0261","E64","UNI","uninfected","ferrisi_uninfected","PWD_SCHUNT",93.0313588850174,-5.9,"F1 hybrid",21.76826,19.36417,15.07182,20.66591,NA,16.54046,24.16598,15.03703,16.004009,8.438642,27.97673,8.473955,10.951688,12.671592,18.33988,22.09717,3.437346,10.438836,13.27494,18.82194
"LM0262","E64","E64","E_ferrisi","ferrisi_ferrisi","BUSNA_BUSNA",98.9588263132986,-10.06,"F0 M. m. musculus",20.22957,18.14328,17.39709,21.3108,NA,12.63218,23.57993,14.00879,11.186614,9.43979,NA,8.613752,20.293679,13.916375,18.49862,22.5984,4.203089,9.684278,13.27406,22.08087
"LM0263","E64","E64","E_ferrisi","ferrisi_ferrisi","PWD_SCHUNT",95.6705882352941,-8.38,"F1 hybrid",22.31389,20.03795,28.89199,21.07542,NA,18.66006,NA,14.61884,12.098614,8.954314,24.31267,17.990707,24.23781,15.120134,20.80061,24.7875,4.605416,10.017204,15.04402,23.69131
"LM0264","E64","UNI","uninfected","ferrisi_uninfected","PWD_PWD",98.7136465324385,-10.02,"F0 M. m. musculus",23.9934,23.44335,23.78059,24.2383,NA,16.75777,23.76993,21.33524,18.017771,11.480787,19.99031,10.255215,10.923709,17.310957,25.2821,25.69449,9.644582,12.04193,19.34746,26.10923
"LM0265","E64","E64","E_ferrisi","ferrisi_ferrisi","BUSNA_STRA",89.7843359818388,-11.42,"F1 hybrid",19.88967,20.31368,19.93494,21.62254,NA,17.64324,22.86814,16.94201,12.246575,8.748695,26.20443,7.940369,12.292991,15.518893,20.79229,26.11614,6.0631,9.980612,14.75829,18.44981
"LM0266","E64","UNI","uninfected","ferrisi_uninfected","SCHUNT_STRA",81.8295739348371,-8.25,"F1 M. m. domesticus",NA,24.81556,21.68421,25.1277,NA,18.2061,22.86023,18.99404,18.253549,10.577026,NA,8.76109,9.023115,19.547397,23.63638,NA,12.795983,9.838008,22.32244,29.87482
"LM0268","E64","UNI","uninfected","ferrisi_uninfected","SCHUNT_SCHUNT",90.4510556621881,-8.15,"F0 M. m. domesticus",22.35195,20.53629,25.89126,23.68561,NA,16.66748,28.45142,16.56531,16.273956,13.691213,NA,12.038068,20.929919,15.678849,22.63025,28.71924,13.919183,15.560557,16.95622,20.43844
"LM0269","E64","E64","E_ferrisi","ferrisi_ferrisi","STRA_SCHUNT",91.25,-7.91,"F1 M. m. domesticus",21.25679,20.53802,20.02823,20.76649,NA,17.42489,22.69451,15.852,12.968113,8.203141,NA,8.233775,17.425917,17.354687,21.23689,29.16415,9.982388,9.48289,14.86344,21.08135
"LM0270","E64","E64","E_ferrisi","ferrisi_ferrisi","SCHUNT_STRA",94.1816659690247,-9.75,"F1 M. m. domesticus",19.70805,18.97607,19.0715,21.15728,NA,13.40232,24.16373,13.93241,11.229936,9.725386,24.64733,6.814177,11.003653,13.408224,20.03371,21.10798,5.917482,11.194286,13.04953,16.84558
"LM0271","E64","UNI","uninfected","ferrisi_uninfected","STRA_BUSNA",93.4432989690722,-9.2,"F1 hybrid",25.08631,23.27692,19.71861,23.52992,NA,19.58139,21.79801,18.71677,17.62949,10.881357,25.72409,10.267396,11.219287,15.989496,20.77055,28.50238,10.5118,11.429176,16.45653,24.00758
"LM0272","E64","UNI","uninfected","ferrisi_uninfected","BUSNA_STRA",98.8142292490119,-10.55,"F1 hybrid",NA,21.66393,20.33407,20.44784,NA,17.7225,23.41526,19.96504,19.114217,11.739965,21.94526,12.198908,12.960735,16.747558,20.53246,29.53929,10.842803,12.155859,17.76277,21.5084
"LM0273","E64","UNI","uninfected","ferrisi_uninfected","STRA_SCHUNT",95.2534562211982,-10.42,"F1 M. m. domesticus",NA,23.07634,22.39279,NA,NA,19.91583,23.28426,18.19233,16.73489,8.94238,24.3899,8.418066,9.847442,16.538393,25.24495,25.38933,11.82444,9.660671,15.41369,20.83225
"LM0275","E64","UNI","uninfected","ferrisi_uninfected","SCHUNT_PWD",100,4.14,"F1 hybrid",NA,22.53733,18.60527,22.20044,NA,17.97018,25.19149,18.54367,17.279974,9.036738,22.05586,7.435172,13.026381,16.057834,21.49756,25.56295,7.036342,8.830993,15.62009,20.40643
"LM0276","E64","UNI","uninfected","ferrisi_uninfected","STRA_STRA",100,-10.61,"F0 M. m. domesticus",22.13662,22.10287,20.06929,NA,NA,19.46909,21.63034,17.56039,18.416046,8.848435,25.72081,8.204233,9.882749,18.079438,22.91124,NA,12.13254,9.535813,16.56348,22.45497
"LM0277","E64","UNI","uninfected","ferrisi_uninfected","BUSNA_STRA",89.4472361809045,-10.39,"F1 hybrid",NA,24.60278,18.46774,26.19512,NA,19.76563,23.74273,18.40169,19.753084,9.752966,28.6691,9.57718,10.404196,17.139011,21.85548,NA,9.879838,11.097173,16.94929,24.08582
"LM0278","E64","UNI","uninfected","ferrisi_uninfected","SCHUNT_PWD",100,-10.99,"F1 hybrid",22.91005,18.58505,19.05836,17.8694,NA,14.97143,20.93711,16.51682,16.471883,11.495214,20.75777,10.413618,11.989536,14.774482,19.67674,21.14482,8.466972,12.429422,15.73371,16.46384
"LM0279","E64","E64","E_ferrisi","ferrisi_ferrisi","BUSNA_BUSNA",95.5971896955503,-9.18,"F0 M. m. musculus",16.57294,16.86408,13.21835,17.79117,NA,14.25306,24.43256,13.82651,8.661838,7.154126,23.86028,7.951477,15.116064,10.230339,17.36359,18.08027,3.785109,10.974022,12.413,13.78664
"LM0280","E64","E64","E_ferrisi","ferrisi_ferrisi","SCHUNT_SCHUNT",100,-7.12,"F0 M. m. domesticus",22.82618,22.15447,25.41724,22.04275,NA,17.18358,29.98603,13.24525,13.915862,8.98701,27.49619,9.597302,21.741745,16.27049,23.07639,24.78306,5.259263,10.307205,14.3705,19.70445
"LM0282","E64","UNI","uninfected","ferrisi_uninfected","STRA_STRA",100,-12.69,"F0 M. m. domesticus",NA,21.16552,18.10097,22.65766,NA,17.71976,24.28977,17.31654,17.871126,10.481867,23.27109,9.326657,9.908069,15.881726,19.59789,NA,11.495341,11.487913,16.29785,20.60002
"LM0283","E64","UNI","uninfected","ferrisi_uninfected","PWD_PWD",96.3350785340314,-10.57,"F0 M. m. musculus",22.58397,24.69742,19.0598,23.16757,NA,18.98606,22.78772,18.82635,17.11075,10.481346,24.321,8.573053,9.253118,16.642453,22.90715,NA,7.758496,11.493739,17.45863,22.01304
